"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1785315,0.00419222222222,-0.0437007407407
0.1,0.1788745,0.00152444444444,-0.0275193981481
0.15,0.178703,-5.71666666667E-05,0.00139740740741
0.2,0.178703,0.00161972222222,0.0289750308642
0.25,0.1788745,0.00352527777778,0.0377829320988
0.3,0.1788745,0.00724111111111,0.0167053703704
0.35,0.1799035,0.00695527777778,-0.0308594135802
0.4,0.180075,-0.00209611111111,0.0195319444444
0.45,0.17836,0.01029,0.0502325617284
0.5,0.1819615,0.00981361111111,-0.0331884259259
0.55,0.179732,0.000952777777778,0.0118567901235
0.6,0.1809325,0.00847972222222,0.252909567901
0.65,0.1826475,-0.000476388888889,1.12888287037
0.7,0.1781885,0.0635502777778,2.98727592593
0.75,0.178703,0.317179722222,4.39177623457
0.8,0.208887,0.597486944444,4.00669521605
0.85,0.2457595,0.752122777778,2.82175725309
0.9,0.2862335,0.850449444444,2.0234882716
0.95,0.3304805,0.93639,1.61718148148
1,0.3805585,1.00842,1.39380802469
1.05,0.4320085,1.06825444444,1.34511049383
1.1,0.486717,1.13828361111,1.38607993827
1.15,0.545713,1.21069472222,1.33537098765
1.2,0.6079675,1.27996166667,1.06917546296
1.25,0.6738235,1.33474638889,0.439601080247
1.3,0.7431095,1.33750944444,0.698280246914
1.35,0.8137675,1.27862777778,6.0066816358
1.4,0.868819,1.20783638889,31.815367284
1.45,0.9111795,3.1890425,78.8842833333
1.5,1.066044,7.69615777778,132.649797994
1.55,1.0024175,22.33273,75.1349969136
1.6,4.142411,21.7720202778,-94.3041976852
1.65,4.0249335,6.062525,-145.510498302
1.7,4.039168,1.14762083333,-81.7257313272
1.75,3.9788,-0.4810575,-28.8930390432
1.8,3.9786285,-0.161781666667,-3.30968533951
1.85,3.974684,-0.0799380555556,0.888200617284
1.9,3.9721115,-0.0234383333333,1.10925564815
1.95,3.97194,0.00819388888889,0.699815277778
2,3.9745125,0.0335377777778,0.569443518518
